date,apple,samsung,smartphone,isPartial
2018-01-01 00:00:00,20,27,0,False
2018-01-01 01:00:00,12,32,0,False
2018-01-01 02:00:00,7,19,0,False
2018-01-01 03:00:00,0,32,0,False
2018-01-01 04:00:00,25,45,0,False
2018-01-01 05:00:00,0,28,0,False
2018-01-01 06:00:00,0,0,0,False
2018-01-01 07:00:00,21,0,14,False
2018-01-01 08:00:00,12,39,0,False
2018-01-01 09:00:00,21,31,0,False
2018-01-01 10:00:00,23,38,6,False
2018-01-01 11:00:00,11,37,0,False
2018-01-01 12:00:00,25,29,4,False
2018-01-01 13:00:00,19,34,5,False
2018-01-01 14:00:00,20,42,0,False
2018-01-01 15:00:00,14,43,2,False
2018-01-01 16:00:00,16,53,0,False
2018-01-01 17:00:00,19,36,0,False
2018-01-01 18:00:00,18,48,0,False
2018-01-01 19:00:00,18,42,0,False
2018-01-01 20:00:00,20,33,4,False
2018-01-01 21:00:00,20,41,4,False
2018-01-01 22:00:00,12,46,5,False
2018-01-01 23:00:00,22,52,0,False
2018-01-02 00:00:00,14,51,9,False
2018-01-02 01:00:00,25,21,0,False
2018-01-02 02:00:00,0,47,0,False
2018-01-02 03:00:00,32,0,0,False
2018-01-02 04:00:00,0,0,0,False
2018-01-02 05:00:00,25,0,0,False
2018-01-02 06:00:00,15,17,0,False
2018-01-02 07:00:00,15,27,9,False
2018-01-02 08:00:00,23,31,3,False
2018-01-02 09:00:00,21,26,2,False
2018-01-02 10:00:00,16,30,2,False
2018-01-02 11:00:00,18,30,3,False
2018-01-02 12:00:00,25,41,4,False
2018-01-02 13:00:00,29,50,0,False
2018-01-02 14:00:00,15,42,0,False
2018-01-02 15:00:00,24,47,5,False
2018-01-02 16:00:00,27,39,0,False
2018-01-02 17:00:00,21,56,4,False
2018-01-02 18:00:00,32,52,3,False
2018-01-02 19:00:00,22,56,5,False
2018-01-02 20:00:00,23,38,3,False
2018-01-02 21:00:00,20,39,0,False
2018-01-02 22:00:00,14,43,2,False
2018-01-02 23:00:00,19,37,3,False
2018-01-03 00:00:00,20,62,12,False
2018-01-03 01:00:00,11,35,9,False
2018-01-03 02:00:00,19,0,16,False
